1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1
1,1,1,2,2,3,3,3,3,3,3,4,4,5,7,5,4,3,2,2,2,2,2,2,2,2,2,2,1,1
1,1,2,2,3,3,3,3,3,3,4,4,5,6,12,7,4,4,3,3,2,2,2,2,2,2,2,2,2,1
1,1,2,3,3,3,3,3,4,4,4,5,6,11,256,18,5,5,4,3,3,2,2,2,2,2,2,2,2,1
1,2,3,3,3,3,3,4,4,5,6,30,12,15,256,15,63,7,6,3,3,3,2,2,2,2,2,2,2,2
1,3,3,3,3,3,4,5,5,6,8,103,256,256,256,256,256,256,8,4,3,3,2,2,2,2,2,2,2,2
1,3,3,3,4,6,7,7,7,7,15,256,256,256,256,256,256,256,9,4,3,3,2,2,2,2,2,2,2,2
1,4,4,4,5,7,13,34,23,11,256,256,256,256,256,256,256,256,13,5,3,3,3,2,2,2,2,2,2,2
1,4,4,6,7,9,256,256,256,256,256,256,256,256,256,256,256,256,44,5,4,3,3,2,2,2,2,2,2,2
1,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,23,7,5,4,3,3,2,2,2,2,2,2,2
1,4,4,6,7,9,256,256,256,256,256,256,256,256,256,256,256,256,44,5,4,3,3,2,2,2,2,2,2,2
1,4,4,4,5,7,13,34,23,11,256,256,256,256,256,256,256,256,13,5,3,3,3,2,2,2,2,2,2,2
1,3,3,3,4,6,7,7,7,7,15,256,256,256,256,256,256,256,9,4,3,3,2,2,2,2,2,2,2,2
1,3,3,3,3,3,4,5,5,6,8,103,256,256,256,256,256,256,8,4,3,3,2,2,2,2,2,2,2,2
1,2,3,3,3,3,3,4,4,5,6,30,12,15,256,15,60,7,6,3,3,3,2,2,2,2,2,2,2,2
1,1,2,3,3,3,3,3,4,4,4,5,6,11,256,18,5,5,4,3,3,2,2,2,2,2,2,2,2,1
1,1,2,2,3,3,3,3,3,3,4,4,5,6,12,7,4,4,3,3,2,2,2,2,2,2,2,2,2,1
1,1,1,2,2,3,3,3,3,3,3,4,4,5,7,5,4,3,2,2,2,2,2,2,2,2,2,2,1,1
1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1
1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
